,bedrooms,bathrooms,toilets,parking_space,house_type,town,state,total_rooms,price
2,4.0,5.0,5.0,4.0,2,12,2,14.0,120000000.0
4,4.0,4.0,5.0,2.0,4,12,2,13.0,75000000.0
6,4.0,5.0,5.0,4.0,2,12,2,14.0,65000000.0
9,4.0,4.0,5.0,5.0,2,0,2,13.0,60000000.0
12,4.0,5.0,6.0,3.0,4,12,2,15.0,65000000.0
13,4.0,4.0,5.0,4.0,4,12,2,13.0,70000000.0
16,4.0,4.0,5.0,4.0,6,12,2,13.0,48000000.0
18,4.0,5.0,5.0,4.0,2,19,2,14.0,170000000.0
20,5.0,5.0,6.0,5.0,2,12,2,16.0,85000000.0
22,4.0,5.0,5.0,2.0,6,19,2,14.0,130000000.0
23,5.0,6.0,7.0,6.0,2,11,0,18.0,160000000.0
24,4.0,4.0,5.0,3.0,2,0,2,13.0,60000000.0
27,4.0,4.0,5.0,5.0,2,12,2,13.0,180000000.0
28,4.0,4.0,5.0,2.0,4,12,2,13.0,75000000.0
31,4.0,4.0,5.0,4.0,2,15,2,13.0,140000000.0
38,5.0,5.0,6.0,5.0,2,12,2,16.0,120000000.0
39,4.0,4.0,5.0,4.0,6,12,2,13.0,55000000.0
40,6.0,6.0,7.0,8.0,2,3,0,19.0,130000000.0
41,4.0,5.0,5.0,4.0,4,3,0,14.0,75000000.0
43,2.0,2.0,3.0,4.0,6,12,2,7.0,53000000.0
45,5.0,5.0,5.0,4.0,1,11,0,15.0,130000000.0
48,3.0,3.0,4.0,3.0,6,12,2,10.0,65000000.0
49,4.0,4.0,4.0,3.0,6,12,2,12.0,55000000.0
50,5.0,5.0,6.0,4.0,2,12,2,16.0,120000000.0
51,4.0,5.0,5.0,4.0,4,12,2,14.0,69000000.0
52,5.0,5.0,6.0,4.0,2,12,2,16.0,105000000.0
53,4.0,4.0,5.0,3.0,4,0,2,13.0,60000000.0
57,5.0,5.0,6.0,4.0,2,12,2,16.0,105000000.0
60,4.0,5.0,5.0,4.0,4,0,2,14.0,60000000.0
61,5.0,6.0,7.0,4.0,2,12,2,18.0,150000000.0
63,5.0,5.0,6.0,4.0,2,0,2,16.0,75000000.0
65,5.0,5.0,6.0,2.0,2,12,2,16.0,110000000.0
69,4.0,4.0,4.0,5.0,2,0,2,12.0,50000000.0
70,5.0,5.0,6.0,4.0,2,12,2,16.0,135000000.0
73,5.0,5.0,5.0,4.0,2,12,2,15.0,150000000.0
75,4.0,5.0,6.0,4.0,6,11,0,15.0,131000000.0
76,4.0,4.0,5.0,4.0,2,12,2,13.0,85000000.0
77,5.0,5.0,6.0,4.0,2,12,2,16.0,155000000.0
81,4.0,4.0,5.0,4.0,6,12,2,13.0,105000000.0
82,5.0,5.0,6.0,4.0,2,12,2,16.0,100000000.0
85,4.0,5.0,5.0,4.0,6,10,0,14.0,75000000.0
86,4.0,5.0,5.0,4.0,2,12,2,14.0,70000000.0
89,5.0,5.0,6.0,4.0,2,12,2,16.0,145000000.0
91,4.0,4.0,5.0,4.0,4,12,2,13.0,61000000.0
92,5.0,5.0,6.0,4.0,2,12,2,16.0,110000000.0
97,4.0,5.0,6.0,4.0,6,12,2,15.0,145000000.0
98,4.0,4.0,5.0,5.0,4,12,2,13.0,150000000.0
99,4.0,4.0,5.0,3.0,2,12,2,13.0,80000000.0
103,4.0,4.0,5.0,3.0,4,12,2,13.0,75000000.0
104,4.0,4.0,5.0,3.0,2,6,2,13.0,60000000.0
108,5.0,5.0,6.0,5.0,4,16,1,16.0,60000000.0
110,3.0,5.0,5.0,4.0,0,15,2,13.0,55000000.0
114,4.0,4.0,5.0,4.0,2,3,0,13.0,80000000.0
115,4.0,5.0,5.0,6.0,2,12,2,14.0,70000000.0
116,5.0,5.0,6.0,4.0,2,12,2,16.0,90000000.0
119,5.0,5.0,6.0,4.0,2,0,2,16.0,90000000.0
122,5.0,5.0,6.0,4.0,2,11,0,16.0,150000000.0
125,4.0,5.0,5.0,4.0,4,12,2,14.0,70000000.0
127,4.0,3.0,3.0,4.0,6,2,0,10.0,49900000.0
128,5.0,6.0,7.0,4.0,2,12,2,18.0,120000000.0
129,4.0,4.0,5.0,4.0,2,0,2,13.0,70000000.0
130,4.0,5.0,5.0,4.0,4,17,5,14.0,85000000.0
133,4.0,4.0,5.0,3.0,6,10,0,13.0,65000000.0
134,5.0,5.0,6.0,4.0,2,12,2,16.0,130000000.0
135,3.0,3.0,4.0,3.0,4,0,2,10.0,50000000.0
136,4.0,5.0,5.0,4.0,2,0,2,14.0,65000000.0
138,5.0,5.0,6.0,5.0,2,12,2,16.0,80000000.0
139,8.0,1.0,1.0,4.0,2,4,4,10.0,150000000.0
140,5.0,5.0,6.0,4.0,2,3,0,16.0,150000000.0
142,4.0,5.0,5.0,4.0,2,12,2,14.0,110000000.0
146,4.0,4.0,5.0,4.0,6,13,0,13.0,60000000.0
147,5.0,6.0,6.0,4.0,2,12,2,17.0,120000000.0
148,4.0,4.0,5.0,4.0,6,19,2,13.0,115000000.0
151,4.0,4.0,4.0,3.0,6,6,2,12.0,180000000.0
155,4.0,4.0,5.0,4.0,6,15,2,13.0,75000000.0
156,4.0,5.0,5.0,4.0,0,16,1,14.0,130000000.0
159,4.0,4.0,5.0,4.0,4,0,2,13.0,48000000.0
162,5.0,5.0,5.0,4.0,2,15,2,15.0,85000000.0
163,4.0,4.0,5.0,4.0,2,12,2,13.0,90000000.0
164,4.0,4.0,5.0,3.0,4,12,2,13.0,65000000.0
166,4.0,4.0,5.0,4.0,6,12,2,13.0,70000000.0
167,3.0,3.0,4.0,3.0,4,15,2,10.0,85000000.0
168,4.0,4.0,5.0,4.0,4,12,2,13.0,75000000.0
169,4.0,5.0,5.0,4.0,4,12,2,14.0,80000000.0
170,5.0,5.0,6.0,5.0,2,12,2,16.0,160000000.0
173,4.0,4.0,5.0,3.0,2,12,2,13.0,75000000.0
174,5.0,5.0,6.0,3.0,6,12,2,16.0,65000000.0
176,5.0,5.0,6.0,5.0,2,12,2,16.0,85000000.0
