bedrooms,bathrooms,toilets,parking_space,house_type,town,state,price,latitude,total_rooms,longitude
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,120000000.0,6.4698419,14.0,3.5851718
4.0,4.0,5.0,2.0,Semi Detached Duplex,Lekki,Lagos,75000000.0,6.4698419,13.0,3.5851718
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,65000000.0,6.4698419,14.0,3.5851718
4.0,4.0,5.0,5.0,Detached Duplex,Ajah,Lagos,60000000.0,6.464587400000001,13.0,3.5725244
4.0,5.0,6.0,3.0,Semi Detached Duplex,Lekki,Lagos,65000000.0,6.4698419,15.0,3.5851718
4.0,4.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,70000000.0,6.4698419,13.0,3.5851718
4.0,4.0,5.0,4.0,Terraced Duplexes,Lekki,Lagos,48000000.0,6.4698419,13.0,3.5851718
4.0,5.0,5.0,4.0,Detached Duplex,Victoria Island (VI),Lagos,170000000.0,6.429098199999999,14.0,3.4238032
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,85000000.0,6.4698419,16.0,3.5851718
4.0,5.0,5.0,2.0,Terraced Duplexes,Victoria Island (VI),Lagos,130000000.0,6.429098199999999,14.0,3.4238032
5.0,6.0,7.0,6.0,Detached Duplex,Katampe,Abuja,160000000.0,9.1010936,18.0,7.446778
4.0,4.0,5.0,3.0,Detached Duplex,Ajah,Lagos,60000000.0,6.464587400000001,13.0,3.5725244
4.0,4.0,5.0,5.0,Detached Duplex,Lekki,Lagos,180000000.0,6.4698419,13.0,3.5851718
4.0,4.0,5.0,2.0,Semi Detached Duplex,Lekki,Lagos,75000000.0,6.4698419,13.0,3.5851718
4.0,4.0,5.0,4.0,Detached Duplex,Magodo,Lagos,140000000.0,6.6178643,13.0,3.4000616
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,120000000.0,6.4698419,16.0,3.5851718
4.0,4.0,5.0,4.0,Terraced Duplexes,Lekki,Lagos,55000000.0,6.4698419,13.0,3.5851718
6.0,6.0,7.0,8.0,Detached Duplex,Gwarinpa,Abuja,130000000.0,9.0673179,19.0,7.398260199999999
4.0,5.0,5.0,4.0,Semi Detached Duplex,Gwarinpa,Abuja,75000000.0,9.0673179,14.0,7.398260199999999
2.0,2.0,3.0,4.0,Terraced Duplexes,Lekki,Lagos,53000000.0,6.4698419,7.0,3.5851718
5.0,5.0,5.0,4.0,Detached Bungalow,Katampe,Abuja,130000000.0,9.1010936,15.0,7.446778
3.0,3.0,4.0,3.0,Terraced Duplexes,Lekki,Lagos,65000000.0,6.4698419,10.0,3.5851718
4.0,4.0,4.0,3.0,Terraced Duplexes,Lekki,Lagos,55000000.0,6.4698419,12.0,3.5851718
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,120000000.0,6.4698419,16.0,3.5851718
4.0,5.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,69000000.0,6.4698419,14.0,3.5851718
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,105000000.0,6.4698419,16.0,3.5851718
4.0,4.0,5.0,3.0,Semi Detached Duplex,Ajah,Lagos,60000000.0,6.464587400000001,13.0,3.5725244
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,105000000.0,6.4698419,16.0,3.5851718
4.0,5.0,5.0,4.0,Semi Detached Duplex,Ajah,Lagos,60000000.0,6.464587400000001,14.0,3.5725244
5.0,6.0,7.0,4.0,Detached Duplex,Lekki,Lagos,150000000.0,6.4698419,18.0,3.5851718
5.0,5.0,6.0,4.0,Detached Duplex,Ajah,Lagos,75000000.0,6.464587400000001,16.0,3.5725244
5.0,5.0,6.0,2.0,Detached Duplex,Lekki,Lagos,110000000.0,6.4698419,16.0,3.5851718
4.0,4.0,4.0,5.0,Detached Duplex,Ajah,Lagos,50000000.0,6.464587400000001,12.0,3.5725244
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,135000000.0,6.4698419,16.0,3.5851718
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,150000000.0,6.4698419,15.0,3.5851718
4.0,5.0,6.0,4.0,Terraced Duplexes,Katampe,Abuja,131000000.0,9.1010936,15.0,7.446778
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,85000000.0,6.4698419,13.0,3.5851718
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,155000000.0,6.4698419,16.0,3.5851718
